Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Low / Mid / High
TREASURE AT TAMPINES,9 Tampines Lane  #03-36 ,1,55,Strata,786000,-,14291,1328,26-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528481,East Region,Tampines,Low
JADESCAPE,6 Shunfu Road  #17-26 ,1,60,Strata,1153300,-,19222,1786,26-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan,Mid
JADESCAPE,16 Shunfu Road  #19-61 ,1,107,Strata,1953400,-,18256,1696,26-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,High
JADESCAPE,2 Shunfu Road  #17-07 ,1,84,Strata,1591200,-,18943,1760,26-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Mid
THE GAZANIA,19 How Sun Drive  #02-50 ,1,84,Strata,1802000,-,21452,1993,26-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,19,53,538555,North East Region,Serangoon,High
PARK COLONIAL,12 Woodleigh Lane  #09-55 ,1,131,Strata,2427000,-,18527,1721,26-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,High
MAYFAIR MODERN,6 Rifle Range Road  #07-17 ,1,120,Strata,2466700,-,20556,1910,25-May-19,Condominium,99 Yrs From 18/09/2018,Uncompleted,New Sale,Private,21,58,588375,Central Region,Bukit Timah,High
PARK COLONIAL,4 Woodleigh Lane  #13-14 ,1,91,Strata,1833000,-,20143,1871,25-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,High
PARK COLONIAL,8 Woodleigh Lane  #13-26 ,1,58,Strata,1170000,-,20172,1874,25-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Mid
PARC BOTANNIA,16 Fernvale Street  #03-24 ,1,89,Strata,1250330,-,14049,1305,25-May-19,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797393,North East Region,Sengkang,Mid
KANDIS RESIDENCE,8 Kandis Link  #07-15 ,1,74,Strata,1045800,-,14132,1313,25-May-19,Condominium,99 Yrs From 11/07/2016,Uncompleted,New Sale,N.A,27,75,756970,North Region,Sembawang,Mid
DAINTREE RESIDENCE,11J Toh Tuck Road  #03-48 ,1,98,Strata,1639900,-,16734,1555,25-May-19,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,N.A,21,59,596131,Central Region,Bukit Timah,Mid
JADESCAPE,16 Shunfu Road  #01-55 ,1,106,Strata,1872900,-,17669,1641,25-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,High
TREASURE AT TAMPINES,51 Tampines Lane  #03-176 ,1,45,Strata,628000,-,13956,1297,25-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528460,East Region,Tampines,Low
TREASURE AT TAMPINES,7 Tampines Lane  #06-30 ,1,85,Strata,1170000,-,13765,1279,25-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528487,East Region,Tampines,Mid
JADESCAPE,4 Shunfu Road  #01-15 ,1,49,Strata,849600,-,17339,1611,25-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan,Low
JADESCAPE,8 Shunfu Road  #05-32 ,1,132,Strata,2319900,-,17575,1633,25-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan,High
PARC BOTANNIA,10 Fernvale Street  #12-07 ,1,81,Strata,1137000,-,14037,1304,25-May-19,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang,Mid
TREASURE AT TAMPINES,41 Tampines Lane  #12-139 ,1,115,Strata,1568000,-,13635,1267,25-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528465,East Region,Tampines,Mid
Q BAY RESIDENCES,1 Tampines Street 86  #05-05 ,1,77,Strata,955000,-,12403,1152,24-May-19,Condominium,99 Yrs From 21/08/2012,2016,Resale,Private,18,52,528583,East Region,Tampines,Low
MARINA BAY RESIDENCES,18 Marina Boulevard  #50-08 ,1,114,Strata,3200000,-,28070,2608,24-May-19,Condominium,99 Yrs From 11/10/2005,2010,Resale,Private,1,1,18980,Central Region,Downtown Core,High
AMBER PARK,18A Amber Gardens  #14-21 ,1,103,Strata,2688390,-,26101,2425,24-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439981,Central Region,Marine Parade,High
AMBER PARK,18A Amber Gardens  #12-28 ,1,43,Strata,1230820,-,28624,2659,24-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439981,Central Region,Marine Parade,Mid
TREVISTA,21 Lorong 3 Toa Payoh  #15-01 ,1,94,Strata,1328000,-,14128,1312,24-May-19,Condominium,99 Yrs From 15/07/2008,2011,Resale,Private,12,31,319581,Central Region,Toa Payoh,Mid
ONE LEICESTER,1 Leicester Road  #02-09 ,1,107,Strata,1550000,-,14486,1346,24-May-19,Condominium,Freehold,2008,Resale,Private,13,35,358828,Central Region,Toa Payoh,Mid
PARK COLONIAL,10 Woodleigh Lane  #05-44 ,1,59,Strata,1124000,-,19051,1770,24-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh,Mid
PARK COLONIAL,6 Woodleigh Lane  #12-24 ,1,43,Strata,879000,-,20442,1899,24-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357687,Central Region,Toa Payoh,Low
PARK COLONIAL,8 Woodleigh Lane  #13-33 ,1,43,Strata,870000,-,20233,1880,24-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
AVILA GARDENS,13 Flora Road  #03-10 ,1,83,Strata,760000,-,9157,851,24-May-19,Condominium,Freehold,1995,Resale,Private,17,50,509733,East Region,Pasir Ris,Low
LEONIE GARDENS,25 Leonie Hill  #17-03 ,1,249,Strata,3650000,-,14659,1362,24-May-19,Condominium,99 Yrs From 15/09/1990,1993,Resale,Private,9,23,239225,Central Region,River Valley,High
CENTRAL GREEN CONDOMINIUM,1 Jalan Membina  #02-05 ,1,88,Strata,1300000,-,14773,1372,24-May-19,Condominium,99 Yrs From 01/07/1992,1995,Resale,Private,3,16,169479,Central Region,Bukit Merah,Mid
AVILA GARDENS,19 Flora Road  #02-04 ,1,119,Strata,1090000,-,9160,851,24-May-19,Condominium,Freehold,1995,Resale,Private,17,50,509736,East Region,Pasir Ris,Mid
THE JOVELL,11 Flora Drive  #06-04 ,1,42,Strata,598000,-,14238,1323,24-May-19,Condominium,99 Yrs From 08/03/2018,Uncompleted,New Sale,N.A,17,50,506852,East Region,Pasir Ris,Low
THE EQUATORIAL,151 Stevens Road  #04-07 ,1,160,Strata,2960000,-,18500,1719,24-May-19,Condominium,Freehold,2001,Resale,Private,10,25,257872,Central Region,Tanglin,High
RIVER ISLES,58 Edgedale Plains  #01-13 ,1,107,Strata,1120000,-,10467,972,24-May-19,Condominium,99 Yrs From 06/02/2012,2015,Resale,Private,19,82,828823,North East Region,Punggol,Mid
OASIS @ ELIAS,66 Elias Road  #16-11 ,1,131,Strata,1200000,-,9160,851,24-May-19,Condominium,99 Yrs From 17/03/2008,2011,Resale,Private,18,51,519941,East Region,Pasir Ris,Mid
GRANGE INFINITE,27 Grange Road  #07-03 ,1,220,Strata,4500000,-,20455,1900,24-May-19,Condominium,Freehold,2011,Resale,Private,9,23,239700,Central Region,River Valley,High
SOUTHAVEN I,43 Hindhede Walk  #04-03 ,1,122,Strata,1300000,-,10656,990,24-May-19,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587973,West Region,Bukit Panjang,Mid
THE ESTA,35 Amber Gardens  #07-12 ,1,122,Strata,2400000,-,19672,1828,24-May-19,Condominium,Freehold,2008,Resale,Private,15,43,439966,Central Region,Marine Parade,High
THE MAYFAIR,5 Jurong East Street 32  #09-03 ,1,112,Strata,1060000,-,9464,879,24-May-19,Condominium,99 Yrs From 04/12/1996,2000,Resale,Private,22,60,609479,West Region,Jurong East,Mid
BARTLEY RIDGE,46 Mount Vernon Road  #13-45 ,1,43,Strata,660000,-,15349,1426,24-May-19,Condominium,99 Yrs From 16/04/2012,2016,Resale,Private,13,36,368063,Central Region,Toa Payoh,Low
THE COAST AT SENTOSA COVE,276 Ocean Drive  #06-34 ,1,444,Strata,6520000,-,14685,1364,24-May-19,Condominium,99 Yrs From 11/04/2006,2009,Resale,Private,4,9,98449,Central Region,Southern Islands,High
THE MAYLEA,242J Pasir Panjang Road  #02-14 ,1,90,Strata,1280000,-,14222,1321,24-May-19,Condominium,Freehold,2008,Resale,Private,5,11,117490,Central Region,Queenstown,Mid
PATERSON RESIDENCE,83 Paterson Road  #17-03 ,1,154,Strata,3775000,-,24513,2277,24-May-19,Condominium,Freehold,2008,Resale,Private,9,23,238549,Central Region,River Valley,High
TREASURE AT TAMPINES,35 Tampines Lane  #08-110 ,1,76,Strata,1040000,-,13684,1271,24-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528468,East Region,Tampines,Mid
CUSCADEN RESIDENCES,28 Cuscaden Road  #10-06 ,1,138,Strata,3600000,-,26087,2424,24-May-19,Condominium,Freehold,2002,Resale,Private,10,24,249723,Central Region,Orchard,High
THE INTERLACE,200 Depot Road  #02-41 ,1,313,Strata,3480000,-,11118,1033,24-May-19,Condominium,99 Yrs From 11/02/2009,2013,Resale,Private,4,10,109694,Central Region,Bukit Merah,High
DUCHESS CREST,64 Duchess Avenue  #01-06 ,1,171,Strata,2400000,-,14035,1304,24-May-19,Condominium,99 Yrs From 24/06/1995,1998,Resale,Private,10,26,269203,Central Region,Bukit Timah,High
OCEAN PARK,526 East Coast Road  #20-04 ,1,303,Strata,4048000,-,13360,1241,24-May-19,Condominium,Freehold,1984,Resale,Private,15,45,458968,East Region,Bedok,High
JADESCAPE,6 Shunfu Road  #05-22 ,1,71,Strata,1283000,-,18070,1679,24-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan,Mid
PAVILION 11,23 Akyab Road  #03-01 ,1,138,Strata,2008000,-,14551,1352,24-May-19,Condominium,Freehold,2009,Resale,Private,11,30,309978,Central Region,Novena,High
REGENT PARK,26 Jalan Lempeng  #03-14 ,1,84,Strata,898000,-,10690,993,24-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,5,12,128805,West Region,Clementi,Low
THE INTERLACE,184 Depot Road  #09-11 ,1,161,Strata,2238000,-,13901,1291,24-May-19,Condominium,99 Yrs From 11/02/2009,2013,Resale,Private,4,10,109686,Central Region,Bukit Merah,High
GUILIN VIEW,24 Bukit Batok Street 52  #10-06 ,1,117,Strata,1040000,-,8889,826,23-May-19,Condominium,99 Yrs From 24/04/1996,2000,Resale,Private,23,65,659246,West Region,Bukit Batok,Mid
CHANGI RISE CONDOMINIUM,2 Simei Rise  #01-01 ,1,170,Strata,1425000,-,8382,779,23-May-19,Condominium,99 Yrs From 29/11/2000,2004,Resale,Private,18,52,528800,East Region,Tampines,Mid
PARK NATURA,35 Bukit Batok East Avenue 6  #02-11 ,1,244,Strata,2328888,-,9545,887,23-May-19,Condominium,Freehold,2011,Resale,Private,23,65,659765,Central Region,Bukit Timah,High
SEASCAPE,59 Cove Way  #01-12 ,1,217,Strata,3100000,-,14286,1327,23-May-19,Condominium,99 Yrs From 09/06/2007,2011,Resale,Private,4,9,98309,Central Region,Southern Islands,High
DUCHESS RESIDENCES,106 Duchess Avenue  #02-12 ,1,150,Strata,3120000,-,20800,1932,23-May-19,Condominium,999 Yrs From 27/12/1875,2011,Resale,Private,10,26,266311,Central Region,Bukit Timah,High
FINLAND GARDENS,41 East Coast Avenue  #01-03 ,1,137,Strata,2100000,-,15328,1424,23-May-19,Condominium,Freehold,1984,Resale,Private,15,45,459246,East Region,Bedok,High
THE WATERSIDE,3 Tanjong Rhu Road  #07-04 ,1,199,Strata,3620000,-,18191,1690,23-May-19,Condominium,Freehold,1992,Resale,Private,15,43,436881,Central Region,Kallang,High
HARBOUR VIEW TOWERS,21 Telok Blangah Drive  #23-06 ,1,150,Strata,1900000,-,12667,1177,23-May-19,Condominium,99 Yrs From 01/06/1990,1994,Resale,Private,4,10,109258,Central Region,Bukit Merah,High
SEAHILL,119 West Coast Crescent  #27-03 ,1,98,Strata,1480000,-,15102,1403,23-May-19,Condominium,99 Yrs From 26/09/2011,2016,Resale,Private,5,12,126777,West Region,Clementi,Mid
PARK COLONIAL,8 Woodleigh Lane  #13-32 ,1,43,Strata,870000,-,20233,1880,23-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh,Low
RV RESIDENCES,463 River Valley Road  #05-13 ,1,39,Strata,960000,-,24615,2287,23-May-19,Condominium,999 Yrs From 21/06/1877,2015,Resale,Private,10,24,248348,Central Region,Tanglin,Low
HILLVIEW HEIGHTS,27 Hillview Avenue  #04-07 ,1,113,Strata,1560000,-,13805,1283,23-May-19,Condominium,Freehold,1996,Resale,Private,23,66,669559,West Region,Bukit Batok,Mid
CASA CAMBIO,11 Lim Tua Tow Road  #05-27 ,1,38,Strata,602000,-,15842,1472,23-May-19,Condominium,Freehold,2014,Resale,Private,19,54,547803,North East Region,Serangoon,Low
THE TRE VER,68 Potong Pasir Avenue 1  #17-40 ,1,65,Strata,1174000,-,18062,1678,23-May-19,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358395,Central Region,Toa Payoh,Mid
FREESIA WOODS,65 Sunset Way  #01-15 ,1,157,Strata,2000000,-,12739,1183,23-May-19,Condominium,Freehold,2003,Resale,Private,21,59,597090,West Region,Clementi,High
WATERFALL GARDENS,12 Farrer Road  #01-09 ,1,204,Strata,3200000,-,15686,1457,23-May-19,Condominium,Freehold,2010,Resale,Private,10,26,268824,Central Region,Tanglin,High
REFLECTIONS AT KEPPEL BAY,7 Keppel Bay View  #05-25 ,1,150,Strata,2980000,-,19867,1846,23-May-19,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98405,Central Region,Bukit Merah,High
COCO PALMS,33 Pasir Ris Grove  #02-69 ,1,128,Strata,1500000,-,11719,1089,23-May-19,Condominium,99 Yrs From 07/01/2008,2018,Resale,Private,18,51,518076,East Region,Pasir Ris,Mid
QUEENS PEAK,3 Dundee Road  #40-22 ,1,80,Strata,1666000,-,20825,1935,23-May-19,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,N.A,3,14,149457,Central Region,Queenstown,Mid
TREASURE AT TAMPINES,45 Tampines Lane  #09-153 ,1,54,Strata,784000,-,14519,1349,23-May-19,Condominium,99 Yrs From 29/11/2018,Uncompleted,New Sale,N.A,18,52,528463,East Region,Tampines,Low
TREE HOUSE,60 Chestnut Avenue  #14-05 ,1,80,Strata,920000,-,11500,1068,23-May-19,Condominium,99 Yrs From 23/11/2009,2013,Resale,Private,23,67,679517,West Region,Bukit Panjang,Low
THE WARREN,37 Choa Chu Kang Loop  #01-04 ,1,122,Strata,1020000,-,8361,777,23-May-19,Condominium,99 Yrs From 21/06/2001,2004,Resale,Private,23,68,689675,West Region,Choa Chu Kang,Mid
PARC BOTANNIA,10 Fernvale Street  #17-06 ,1,135,Strata,1887144,-,13979,1299,23-May-19,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,N.A,28,79,797390,North East Region,Sengkang,High
PEBBLE BAY,130 Tanjong Rhu Road  #11-02 ,1,217,Strata,3300000,-,15207,1413,23-May-19,Condominium,99 Yrs From 09/03/1994,1997,Resale,Private,15,43,436918,Central Region,Kallang,High
HILLSTA,66 Phoenix Road  #04-03 ,1,59,Strata,670000,-,11356,1055,22-May-19,Condominium,99 Yrs From 03/10/2011,2016,Resale,Private,23,66,668201,West Region,Bukit Batok,Low
WEST BAY CONDOMINIUM,60 West Coast Crescent  #04-07 ,1,81,Strata,785000,-,9691,900,22-May-19,Condominium,99 Yrs From 01/03/1991,1993,Resale,Private,5,12,128040,West Region,Clementi,Low
Q BAY RESIDENCES,5 Tampines Street 86  #02-20 ,1,104,Strata,1110000,-,10673,992,22-May-19,Condominium,99 Yrs From 21/08/2012,2016,Resale,Private,18,52,528585,East Region,Tampines,Mid
PEBBLE BAY,130 Tanjong Rhu Road  #15-12 ,1,176,Strata,2980000,-,16932,1573,22-May-19,Condominium,99 Yrs From 09/03/1994,1997,Resale,Private,15,43,436918,Central Region,Kallang,High
BAYSHORE PARK,60 Bayshore Road  #30-04 ,1,109,Strata,1350000,-,12385,1151,22-May-19,Condominium,99 Yrs From 17/03/1982,1986,Resale,Private,16,46,469982,East Region,Bedok,Mid
STARVILLE,68 Lengkong Tiga  #10-18 ,1,56,Strata,700000,-,12500,1161,22-May-19,Condominium,Freehold,2006,Resale,Private,14,41,417472,East Region,Bedok,Low
BUKIT REGENCY,5 Upper Bukit Timah View  #03-09 ,1,133,Strata,1650000,-,12406,1153,22-May-19,Condominium,Freehold,1995,Resale,Private,21,58,588134,Central Region,Bukit Timah,Mid
THE HYDE,11 Balmoral Road  #11-11 ,1,88,Strata,3043000,-,34580,3213,22-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,10,25,259796,Central Region,Tanglin,High
TREE HOUSE,68 Chestnut Avenue  #18-17 ,1,107,Strata,1320000,-,12336,1146,22-May-19,Condominium,99 Yrs From 23/11/2009,2013,Resale,Private,23,67,679521,West Region,Bukit Panjang,Mid
CHILTERN PARK,133 Serangoon Avenue 3  #06-03 ,1,116,Strata,1270000,-,10948,1017,22-May-19,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556113,North East Region,Serangoon,Mid
PARC OASIS,37 Jurong East Avenue 1  #09-06 ,1,140,Strata,1335000,-,9536,886,22-May-19,Condominium,99 Yrs From 01/12/1991,1994,Resale,Private,22,60,609775,West Region,Jurong East,Mid
LEONIE GARDENS,23 Leonie Hill  #14-04 ,1,161,Strata,2700000,-,16770,1558,22-May-19,Condominium,99 Yrs From 15/09/1990,1993,Resale,Private,9,23,239224,Central Region,River Valley,High
MONTEBLEU,8 Minbu Road  #28-06 ,1,79,Strata,1450000,-,18354,1705,22-May-19,Condominium,Freehold,2010,Resale,Private,11,30,308162,Central Region,Novena,Mid
THE JOVELL,17 Flora Drive  #05-26 ,1,96,Strata,1244000,-,12958,1204,22-May-19,Condominium,99 Yrs From 08/03/2018,Uncompleted,New Sale,N.A,17,50,506855,East Region,Pasir Ris,Mid
NASSIM PARK RESIDENCES,19 Nassim Road  #05-14 ,1,646,Strata,18800000,-,29102,2704,22-May-19,Condominium,Freehold,2011,Resale,Private,10,25,258461,Central Region,Tanglin,High
THE METZ,83 Devonshire Road  #05-05 ,1,53,Strata,1300000,-,24528,2279,22-May-19,Condominium,Freehold,2007,Resale,Private,9,23,239864,Central Region,River Valley,Mid
THE COSMOPOLITAN,200 Kim Seng Road  #25-03 ,1,123,Strata,3080000,-,25041,2326,22-May-19,Condominium,Freehold,2008,Resale,Private,9,23,239471,Central Region,Singapore River,High
AVON PARK,1 Youngberg Terrace  #02-07 ,1,119,Strata,1600000,-,13445,1249,22-May-19,Condominium,Freehold,1991,Resale,Private,13,35,357741,Central Region,Toa Payoh,Mid
BOTANNIA,29B West Coast Park  #01-22 ,1,152,Strata,1800000,-,11842,1100,22-May-19,Condominium,956 Yrs From 27/05/1928,2009,Resale,Private,5,12,127724,West Region,Clementi,High
JADESCAPE,8 Shunfu Road  #13-29 ,1,98,Strata,1755000,-,17908,1664,22-May-19,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan,Mid
GLENDALE PARK,25 Hillview Avenue  #04-03 ,1,140,Strata,1770000,-,12643,1175,22-May-19,Condominium,Freehold,2000,Resale,Private,23,66,669558,West Region,Bukit Batok,Mid
CHILTERN PARK,133 Serangoon Avenue 3  #08-11 ,1,146,Strata,1498000,-,10260,953,22-May-19,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556113,North East Region,Serangoon,Mid
CASTLE GREEN,485 Yio Chu Kang Road  #12-06 ,1,131,Strata,1360000,-,10382,964,21-May-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787058,North East Region,Ang Mo Kio,Mid
GALLOP GABLES,80 Farrer Road  #02-06 ,1,112,Strata,2050000,-,18304,1700,21-May-19,Condominium,Freehold,1997,Resale,Private,10,26,268855,Central Region,Tanglin,High
CHILTERN PARK,135 Serangoon Avenue 3  #06-04 ,1,118,Strata,1285000,-,10890,1012,21-May-19,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556114,North East Region,Serangoon,Mid
HOLLAND RESIDENCES,5 Taman Warna  #04-16 ,1,129,Strata,2600000,-,20155,1872,21-May-19,Condominium,Freehold,2012,Resale,Private,10,27,276342,Central Region,Bukit Timah,High
MAYFAIR MODERN,2 Rifle Range Road  #03-05 ,1,89,Strata,2017600,-,22670,2106,21-May-19,Condominium,99 Yrs From 08/07/1983,Uncompleted,New Sale,N.A,21,58,588373,Central Region,Bukit Timah,High
HERITAGE VIEW,10 Dover Rise  #07-06 ,1,111,Strata,1380000,-,12432,1155,21-May-19,Condominium,99 Yrs From 12/08/1996,2000,Resale,Private,5,13,138680,Central Region,Queenstown,Mid
AMBER PARK,16 Amber Gardens  #18-10 ,1,69,Strata,1851660,-,26836,2493,21-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439961,Central Region,Marine Parade,High
AMBER PARK,18A Amber Gardens  #14-27 ,1,217,Strata,5557500,-,25611,2379,21-May-19,Condominium,Freehold,Uncompleted,New Sale,N.A,15,43,439981,Central Region,Marine Parade,High
THE IMPERIAL,9 Jalan Rumbia  #09-14 ,1,91,Strata,2048000,-,22505,2091,21-May-19,Condominium,Freehold,2006,Resale,Private,9,23,239620,Central Region,Museum,High
PARK COLONIAL,2 Woodleigh Lane  #06-02 ,1,116,Strata,2163000,-,18647,1732,21-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh,High
PARK COLONIAL,4 Woodleigh Lane  #15-11 ,1,111,Strata,1969000,-,17739,1648,21-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,High
CITY SQUARE RESIDENCES,10 Kitchener Link  #11-20 ,1,113,Strata,1850000,-,16372,1521,21-May-19,Condominium,Freehold,2008,Resale,Private,8,20,207225,Central Region,Kallang,High
PARK COLONIAL,10 Woodleigh Lane  #06-44 ,1,59,Strata,1128000,-,19119,1776,21-May-19,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh,Mid
OUE TWIN PEAKS,33 Leonie Hill Road  #26-12 ,1,130,Strata,3300000,-,25385,2358,21-May-19,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,9,23,239197,Central Region,River Valley,High
8 @ MOUNT SOPHIA,8 Mount Sophia  #04-49 ,1,122,Strata,1950000,-,15984,1485,21-May-19,Condominium,103 Yrs From 28/11/2002,2007,Resale,Private,9,22,228463,Central Region,Rochor,High
COSTA RHU,5 Rhu Cross  #07-08 ,1,94,Strata,1263000,-,13436,1248,21-May-19,Condominium,99 Yrs From 30/05/1994,1997,Resale,Private,15,43,437434,Central Region,Kallang,Mid
IVORY HEIGHTS,124 Jurong East Street 13  #07-03 ,1,155,Strata,1570000,-,10129,941,21-May-19,Condominium,100 Yrs From 01/02/1986,Unknown,Resale,Private,22,60,600124,West Region,Jurong East,Mid
THE MAKENA,125 Meyer Road  #05-01 ,1,107,Strata,1700000,-,15888,1476,21-May-19,Condominium,Freehold,1998,Resale,Private,15,43,437936,Central Region,Marine Parade,Mid
